id,observed_on,quality_grade,scientific_name,common_name,latitude,longitude,positional_accuracy,geoprivacy,captive,user,uri
651862,2014-04-27,research,Crotaphytus collaris,Eastern Collared Lizard,34.712655,-98.640854,27.0,,False,phnix_risin,http://www.inaturalist.org/observations/651862
651863,2014-04-27,research,Crotaphytus collaris,Eastern Collared Lizard,34.712629,-98.640881,13.0,,False,phnix_risin,http://www.inaturalist.org/observations/651863
651864,2014-04-27,research,Crotaphytus collaris,Eastern Collared Lizard,34.712629,-98.640881,13.0,,False,phnix_risin,http://www.inaturalist.org/observations/651864
651865,2014-04-27,research,Crotaphytus collaris,Eastern Collared Lizard,34.712629,-98.640881,13.0,,False,phnix_risin,http://www.inaturalist.org/observations/651865
651870,2014-04-27,research,Crotaphytus collaris,Eastern Collared Lizard,34.704488,-98.625898,54.0,,False,phnix_risin,http://www.inaturalist.org/observations/651870
3408772,2014-05-05,research,Crotaphytus collaris,Eastern Collared Lizard,35.895527,-95.78987,53.0,,False,arrowheadspiketail58,http://www.inaturalist.org/observations/3408772
2462363,2014-05-13,research,Crotaphytus collaris,Eastern Collared Lizard,34.743374,-98.591466,241.0,,False,dhalter,http://www.inaturalist.org/observations/2462363
2462378,2014-05-18,research,Crotaphytus collaris,Eastern Collared Lizard,34.74333,-98.591552,67.0,,False,dhalter,http://www.inaturalist.org/observations/2462378
41059978,2014-05-18,research,Crotaphytus collaris,Eastern Collared Lizard,34.7380716397,-98.5932723779,8568.0,,False,natforlife,https://www.inaturalist.org/observations/41059978
109003489,2014-05-18,research,Crotaphytus collaris,Eastern Collared Lizard,36.2945193962,-96.0154708634,25.0,obscured,False,squamatologist,https://www.inaturalist.org/observations/109003489
21082405,2014-05-18,research,Crotaphytus collaris,Eastern Collared Lizard,34.7110030081,-98.6747498589,4.0,,False,jdwillson,https://www.inaturalist.org/observations/21082405
21082406,2014-05-18,research,Crotaphytus collaris,Eastern Collared Lizard,34.7310111111,-98.7229916667,,,False,jdwillson,https://www.inaturalist.org/observations/21082406
2752669,2014-05-25,research,Crotaphytus collaris,Eastern Collared Lizard,34.7118,-98.679065,27.0,,False,mkbrown24,http://www.inaturalist.org/observations/2752669
2752686,2014-05-25,research,Crotaphytus collaris,Eastern Collared Lizard,34.712028,-98.68072,15.0,,False,mkbrown24,http://www.inaturalist.org/observations/2752686
42286841,2014-05-26,research,Crotaphytus collaris,Eastern Collared Lizard,34.7444992063,-98.5318695009,2104.0,,False,iosialectus,https://www.inaturalist.org/observations/42286841
103489748,2014-05-29,research,Crotaphytus collaris,Eastern Collared Lizard,34.7207628684,-98.6720552342,15.0,,False,naturegirlkh,https://www.inaturalist.org/observations/103489748
103489752,2014-05-29,research,Crotaphytus collaris,Eastern Collared Lizard,34.7207505593,-98.671998908,15.0,,False,naturegirlkh,https://www.inaturalist.org/observations/103489752
3418576,2014-05-31,research,Crotaphytus collaris,Eastern Collared Lizard,34.715358,-98.648837,109.0,,False,arrowheadspiketail58,http://www.inaturalist.org/observations/3418576
3418581,2014-05-31,research,Crotaphytus collaris,Eastern Collared Lizard,34.715358,-98.648837,109.0,,False,arrowheadspiketail58,http://www.inaturalist.org/observations/3418581
717466,2014-06-04,research,Crotaphytus collaris,Eastern Collared Lizard,36.456084,-96.990738,1710.0,,False,tobler,http://www.inaturalist.org/observations/717466
10286590,2014-06-10,research,Crotaphytus collaris,Eastern Collared Lizard,35.0647246523,-99.852212118,2.0,,False,salticidude,https://www.inaturalist.org/observations/10286590
84647258,2014-06-14,research,Crotaphytus collaris,Eastern Collared Lizard,34.7312327257,-98.7229819032,10.0,,False,dustin_lynch,https://www.inaturalist.org/observations/84647258
2537653,2014-06-20,research,Crotaphytus collaris,Eastern Collared Lizard,36.362084,-98.582023,1284.0,,False,ospreyeagle,http://www.inaturalist.org/observations/2537653
2325243,2014-06-21,research,Crotaphytus collaris,Eastern Collared Lizard,34.682329,-98.706812,6320.0,,False,ellen5,http://www.inaturalist.org/observations/2325243
328200028,2014-07-04,research,Crotaphytus collaris,Eastern Collared Lizard,36.592634739,-96.3347690438,32934.0,,False,uticabirder,https://www.inaturalist.org/observations/328200028
3410111,2014-07-23,research,Crotaphytus collaris,Eastern Collared Lizard,34.710833,-98.633375,,,False,leehoy,http://www.inaturalist.org/observations/3410111
53846318,2014-07-26,research,Crotaphytus collaris,Eastern Collared Lizard,36.8487,-102.8839444444,,,False,twtaggart,https://www.inaturalist.org/observations/53846318
93167348,2014-07-26,research,Crotaphytus collaris,Eastern Collared Lizard,36.8487,-102.8839444444,,,False,twtaggart,https://www.inaturalist.org/observations/93167348
20210860,2014-08-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.7509605,-98.6820636,17814.0,,False,ehjalmarson,https://www.inaturalist.org/observations/20210860
255741683,2014-08-05,research,Crotaphytus collaris,Eastern Collared Lizard,34.7528444138,-98.679301478,18337.0,,False,talltraveler,https://www.inaturalist.org/observations/255741683
87935167,2014-08-16,research,Crotaphytus collaris,Eastern Collared Lizard,34.7788743975,-98.4592061355,1000.0,obscured,False,dannym77,https://www.inaturalist.org/observations/87935167
73710713,2014-10-01,research,Crotaphytus collaris,Eastern Collared Lizard,36.2169299704,-96.2625022706,2.0,,False,ribitzki49,https://www.inaturalist.org/observations/73710713
28542732,2015-04-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.7183367856,-98.6743818484,9586.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28542732
28542733,2015-04-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.6726466917,-98.7612407557,9586.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28542733
28542735,2015-04-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.7247980572,-98.6593788567,9586.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28542735
28542736,2015-04-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.6097568397,-98.7773349225,9586.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28542736
28542737,2015-04-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.756808573,-98.7469407535,9586.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28542737
28542738,2015-04-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.6120549054,-98.671497589,9586.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28542738
3821190,2015-04-25,research,Crotaphytus collaris,Eastern Collared Lizard,34.7436833333,-98.5314466667,,,False,tony28,http://www.inaturalist.org/observations/3821190
57132074,2015-05-02,research,Crotaphytus collaris,Eastern Collared Lizard,36.367155,-98.57742,,,False,saxtonine,https://www.inaturalist.org/observations/57132074
152732087,2015-05-02,research,Crotaphytus collaris,Eastern Collared Lizard,36.3671555556,-98.5774222222,,,False,saxtonine,https://www.inaturalist.org/observations/152732087
7953451,2015-05-02,research,Crotaphytus collaris,Eastern Collared Lizard,34.7401826152,-98.689168947,6906.0,,False,ehjalmarson,https://www.inaturalist.org/observations/7953451
218440488,2015-05-17,research,Crotaphytus collaris,Eastern Collared Lizard,34.7309536377,-98.6470087296,25370.0,,False,canaya19,https://www.inaturalist.org/observations/218440488
1504930,2015-05-17,research,Crotaphytus collaris,Eastern Collared Lizard,34.72288,-98.702295,,,False,ktcorson,http://www.inaturalist.org/observations/1504930
1504830,2015-05-17,research,Crotaphytus collaris,Eastern Collared Lizard,34.7230416667,-98.70118,,,False,ktcorson,http://www.inaturalist.org/observations/1504830
10325863,2015-05-27,research,Crotaphytus collaris,Eastern Collared Lizard,35.0662540773,-99.8509600225,2552.0,,False,salticidude,https://www.inaturalist.org/observations/10325863
10325877,2015-05-27,research,Crotaphytus collaris,Eastern Collared Lizard,35.0662540773,-99.8509600225,2552.0,,False,salticidude,https://www.inaturalist.org/observations/10325877
10325888,2015-05-27,research,Crotaphytus collaris,Eastern Collared Lizard,35.0662540773,-99.8509600225,2552.0,,False,salticidude,https://www.inaturalist.org/observations/10325888
61790693,2015-06-01,research,Crotaphytus collaris,Eastern Collared Lizard,36.3631454521,-96.1185398698,7433.0,,False,brandon_c_,https://www.inaturalist.org/observations/61790693
236821609,2015-06-13,research,Crotaphytus collaris,Eastern Collared Lizard,36.3649075053,-98.5794310924,31.0,,False,dan2465,https://www.inaturalist.org/observations/236821609
9251267,2015-06-19,research,Crotaphytus collaris,Eastern Collared Lizard,34.721728,-98.719084,,,False,bob777,https://www.inaturalist.org/observations/9251267
9251734,2015-06-19,research,Crotaphytus collaris,Eastern Collared Lizard,34.721564,-98.720878,,,False,bob777,https://www.inaturalist.org/observations/9251734
9243161,2015-06-19,research,Crotaphytus collaris,Eastern Collared Lizard,34.722832,-98.724619,2.0,,False,bob777,https://www.inaturalist.org/observations/9243161
